id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
13911205,JJ346685,2025-07-24T00:00:00.000,024XX W 25TH ST,0560,ASSAULT,SIMPLE,STREET,False,False,1034,010,25,31,08A,1160336,1887340,2025,2025-07-31T15:44:23.000,41.846562352,-87.687064109,"{'latitude': '41.846562352', 'longitude': '-87.687064109', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,14920,33,204,26,43,21,159,25
13914716,JJ350971,2025-07-24T00:00:00.000,006XX N TRUMBULL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1121,011,27,23,07,1153269,1903952,2025,2025-07-31T15:44:23.000,41.892290508,-87.712558965,"{'latitude': '41.892290508', 'longitude': '-87.712558965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,21572,24,584,46,30,16,65,27
13911459,JJ346642,2025-07-24T00:00:00.000,0000X S WABASH AVE,0460,BATTERY,SIMPLE,STREET,False,False,0112,001,34,32,08B,1176815,1900227,2025,2025-07-31T15:44:23.000,41.881568892,-87.626197726,"{'latitude': '41.881568892', 'longitude': '-87.626197726', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,14311,38,367,36,34,22,93,34
13911033,JJ346535,2025-07-24T00:00:00.000,027XX W 60TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,0824,008,16,66,14,1158960,1864749,2025,2025-07-31T15:44:23.000,41.784598134,-87.692732051,"{'latitude': '41.784598134', 'longitude': '-87.692732051', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,21867,64,111,2,58,13,269,16
13913345,JJ346524,2025-07-24T00:00:00.000,107XX S AVENUE E,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE,False,True,0432,004,10,52,04B,1203836,1834319,2025,2025-07-31T15:44:23.000,41.700061077,-87.52924377,"{'latitude': '41.700061077', 'longitude': '-87.52924377', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",47,21202,49,715,47,25,19,247,6
13911706,JJ347417,2025-07-24T00:00:00.000,081XX S INGLESIDE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,0631,006,8,44,08B,1183979,1851235,2025,2025-07-31T15:44:23.000,41.746966294,-87.601424385,"{'latitude': '41.746966294', 'longitude': '-87.601424385', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,40,247,35,61,20,235,10
13916352,JJ352667,2025-07-24T00:00:00.000,132XX S PRAIRIE AVE,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,0533,005,9,54,02,1180314,1817541,2025,2025-07-31T15:44:23.000,41.654590142,-87.615882296,"{'latitude': '41.654590142', 'longitude': '-87.615882296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,4460,51,10,43,47,10,221,11
13911269,JJ346808,2025-07-24T00:00:00.000,018XX S BLUE ISLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1233,012,25,31,14,1167092,1891081,2025,2025-07-31T15:44:23.000,41.856685806,-87.662162601,"{'latitude': '41.856685806', 'longitude': '-87.662162601', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,14920,33,365,26,43,15,150,25
13912849,JJ348940,2025-07-24T00:00:00.000,012XX W KINZIE ST,0810,THEFT,OVER $500,STREET,False,False,1215,012,27,24,06,1168159,1902843,2025,2025-07-31T15:44:23.000,41.888938702,-87.657906431,"{'latitude': '41.888938702', 'longitude': '-87.657906431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,14917,25,521,46,49,15,78,27
13916386,JJ347618,2025-07-24T00:00:00.000,051XX S ASHLAND AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,False,False,0932,009,16,61,06,1166541,1870734,2025,2025-07-31T15:44:23.000,41.800863342,-87.664766276,"{'latitude': '41.800863342', 'longitude': '-87.664766276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,14924,59,789,2,37,23,128,16
